form	lemma	POS	register
เหลือกินเหลือใช้	เหลือกินเหลือใช้	adjective	formal
แหง	แหง	adjective	informal
แห้งแล้ง	แห้งแล้ง	adjective	formal
แหยง	แหยง	adjective	formal
ใหญ่ที่สุด	ใหญ่ที่สุด	adjective	formal
ใหญ่มาก	ใหญ่มาก	adjective	formal
ให้เปล่า	ให้เปล่า	adjective	formal
ใหม่ถอดด้าม	ใหม่ถอดด้าม	adjective	formal
ไหม้	ไหม้	adjective	formal
อดอยากปากแห้ง	อดอยากปากแห้ง	adjective	formal
อธรรม	อธรรม	adjective	formal
อ่อนน้อม	อ่อนน้อม	adjective	formal
อ้อยอิ่ง	อ้อยอิ่ง	adjective	formal
อัปลักษณ์	อัปลักษณ์	adjective	formal
อัศจรรย์	อัศจรรย์	adjective	formal
อำมหิต	อำมหิต	adjective	formal
อ้ำอึ้ง	อ้ำอึ้ง	adjective	formal
อิดโรย	อิดโรย	adjective	formal
อินเตอร์เนชั่นแนล	อินเตอร์เนชั่นแนล	adjective	formal
อึกทึกครึกโครม	อึกทึกครึกโครม	adjective	formal
อื้อ	อื้อ	adjective	informal
อุดม	อุดม	adjective	formal
อุดอู้	อุดอู้	adjective	formal
อุ่นสบาย	อุ่นสบาย	adjective	formal
อุ้มท้อง	อุ้มท้อง	adjective	formal
เอเชีย	เอเชีย	adjective	formal
แอส	แอส	adjective	informal
ไอ้บ้า	ไอ้บ้า	adjective	informal
กระจอกงอกง่อย	กระจอกงอกง่อย	adjective	formal
กระชับ	กระชับ	adjective	formal
กระบุงโกย	กระบุงโกย	adjective	informal
กระหายเลือด	กระหายเลือด	adjective	formal
กร้าว	กร้าว	adjective	formal
กลมกล่อม	กลมกล่อม	adjective	formal
กลางเก่ากลางใหม่	กลางเก่ากลางใหม่	adjective	formal
กลุ้มใจ	กลุ้มใจ	adjective	formal
กว้างใหญ่	กว้างใหญ่	adjective	formal
กำยำ	กำยำ	adjective	formal
กิ๊กก๊อก	กิ๊กก๊อก	adjective	formal
กิจจะลักษณะ	กิจจะลักษณะ	adjective	formal
เกรดเอ	เกรดเอ	adjective	formal
เกษียณแล้ว	เกษียณแล้ว	adjective	formal
เกาหลี	เกาหลี	adjective	formal
เกี่ยวข้อง	เกี่ยวข้อง	adjective	formal
แก่นแก้ว	แก่นแก้ว	adjective	formal
แก่หง่อม	แก่หง่อม	adjective	formal
โกโรโกโส	โกโรโกโส	adjective	informal
ขบขัน	ขบขัน	adjective	formal
ขมีขมัน	ขมีขมัน	adjective	formal
ขวัญเสีย	ขวัญเสีย	adjective	formal
ขั้นสูง	ขั้นสูง	adjective	formal
ขี้งอน	ขี้งอน	adjective	formal
ขี้ตา	ขี้ตา	adjective	informal
ขี้ริ้ว	ขี้ริ้ว	adjective	formal
แข็งแกร่ง	แข็งแกร่ง	adjective	formal
ครบวงจร	ครบวงจร	adjective	formal
